person_id,age,age_group,gender,road_user
737,21,18-25,Male,Pedal cyclist
738,58,41-65,Female,Motorcycle rider
739,77,65+,Male,Passenger
740,5,0-17,Female,Pedestrian
741,22,18-25,Female,Motorcycle rider
742,47,41-65,Female,Motorcycle pillion passenger
743,91,65+,Female,Pedestrian
744,41,41-65,Female,Motorcycle pillion passenger
745,19,18-25,Male,Pedal cyclist
746,34,26-40,Female,Pedestrian
747,6,0-17,Male,Pedestrian
748,4,0-17,Male,Pedal cyclist
749,10,0-17,Female,Pedestrian
750,17,18-25,Female,Motorcycle rider
751,24,18-25,Male,
752,16,0-17,Female,Driver
753,10,0-17,Male,Pedestrian
754,34,26-40,Male,
755,53,41-65,Female,Passenger
756,27,26-40,Female,Motorcycle rider
757,20,18-25,Female,Pedal cyclist
758,14,0-17,Male,Pedal cyclist
759,55,41-65,Female,Pedal cyclist
760,8,0-17,Female,Pedestrian
761,21,18-25,Male,Motorcycle pillion passenger
762,68,65+,Male,
763,8,0-17,Male,Pedal cyclist
764,33,26-40,Female,Pedestrian
765,29,26-40,Female,Motorcycle pillion passenger
766,101,65+,Male,Driver
767,16,0-17,Male,Pedal cyclist
768,34,26-40,Male,Pedal cyclist
769,87,65+,Male,Motorcycle rider
770,50,41-65,Female,Pedal cyclist
771,13,0-17,Male,Motorcycle rider
772,76,65+,Female,Motorcycle rider
773,60,41-65,Female,Pedal cyclist
774,46,41-65,Male,Pedal cyclist
775,22,18-25,Female,Motorcycle pillion passenger
776,75,65+,Male,Pedestrian
777,30,26-40,Male,Pedal cyclist
778,43,41-65,Female,Motorcycle rider
779,72,65+,Female,Pedal cyclist
780,44,41-65,Female,Motorcycle rider
781,32,26-40,Male,Pedal cyclist
782,94,65+,Female,Pedestrian
783,22,18-25,Female,Pedal cyclist
784,95,65+,Female,Passenger
785,81,65+,Male,Passenger
786,11,0-17,Female,Pedestrian
787,59,41-65,Male,Passenger
788,44,41-65,Female,Pedal cyclist
789,38,26-40,Male,Pedal cyclist
790,54,41-65,Female,Motorcycle rider
791,36,26-40,Female,Pedestrian
792,24,18-25,Male,Pedal cyclist
793,9,0-17,Male,Pedestrian
794,74,65+,Male,Passenger
795,32,26-40,Female,Pedal cyclist
796,97,65+,Male,Driver
797,46,41-65,Female,Motorcycle rider
798,65,65+,Female,Pedal cyclist
799,5,0-17,Male,Pedal cyclist
800,52,41-65,Female,Pedal cyclist
801,17,18-25,Male,Pedal cyclist
802,9,0-17,Female,Passenger
803,28,26-40,Male,Pedal cyclist
804,50,41-65,Female,
805,35,26-40,Male,Pedal cyclist
806,99,65+,Male,Pedestrian
807,95,65+,Male,Pedestrian
808,92,65+,Male,Passenger
809,71,65+,Male,Passenger
810,21,18-25,Female,Pedal cyclist
811,69,65+,Female,Motorcycle rider
812,23,18-25,Male,Motorcycle pillion passenger
