fact_crash_id,crash_id,date_id,holiday_id,location_id,road_id,vehicle_id,crash_type_id,number_fatalities,crash_count
19982232,19982232,828,2,66,16,1,1,1,1
19985082,19985082,828,2,7,6,11,2,1,1
19985047,19985047,828,2,7,14,11,1,1,1
19981091,19981091,828,2,797,30,11,2,4,1
19981159,19981159,828,2,797,30,11,2,1,1
19982117,19982117,828,2,66,17,1,2,3,1
19982311,19982311,828,2,66,30,1,2,2,1
19985005,19985005,828,2,7,16,11,2,1,1
19985050,19985050,829,2,7,6,11,1,2,1
19982139,19982139,829,2,66,16,1,1,1,1
19984013,19984013,829,2,803,14,11,1,1,1
19983078,19983078,829,2,778,30,13,2,1,1
19982197,19982197,829,2,66,30,1,2,3,1
19983160,19983160,829,2,778,30,11,1,1,1
19981459,19981459,829,2,797,16,11,2,1,1
19981113,19981113,829,2,797,17,11,1,1,1
19984136,19984136,829,2,803,30,11,2,1,1
19981190,19981190,829,2,797,30,11,1,1,1
19983127,19983127,829,2,778,30,11,1,1,1
19986019,19986019,829,2,668,16,11,1,1,1
19982335,19982335,829,2,66,30,1,1,1,1
19981001,19981001,829,2,797,30,11,2,1,1
19982047,19982047,829,2,66,30,1,1,1,1
19982039,19982039,829,2,66,17,1,2,1,1
19982017,19982017,829,2,66,30,1,1,1,1
19985109,19985109,829,2,7,14,11,1,1,1
19982136,19982136,829,2,66,21,1,1,1,1
19981027,19981027,829,2,797,16,11,2,1,1
19986028,19986028,829,2,668,30,11,2,2,1
19981172,19981172,829,2,797,16,11,2,1,1
19982083,19982083,829,2,66,16,1,1,3,1
19983177,19983177,830,2,778,30,11,2,1,1
19983170,19983170,830,2,778,16,11,1,1,1
19986034,19986034,830,2,668,30,11,1,1,1
19983149,19983149,830,2,778,17,11,1,1,1
19985015,19985015,830,2,7,16,11,1,1,1
19982010,19982010,830,2,66,30,2,1,1,1
19981383,19981383,830,2,797,14,11,1,1,1
19981033,19981033,830,2,797,14,11,1,1,1
19983221,19983221,830,2,778,17,11,1,1,1
19982046,19982046,830,2,66,16,1,1,1,1
19981138,19981138,830,2,797,16,11,1,1,1
19981197,19981197,830,2,797,30,11,1,1,1
19982147,19982147,830,2,66,17,1,1,1,1
19983026,19983026,830,2,778,16,11,1,1,1
19984068,19984068,830,2,803,14,11,1,1,1
19983171,19983171,830,2,778,17,11,1,1,1
19983048,19983048,830,2,778,30,11,2,1,1
19983012,19983012,830,2,778,17,11,2,1,1
19985040,19985040,830,2,7,6,11,1,1,1
19982063,19982063,830,2,66,30,1,1,1,1
19985125,19985125,830,2,7,14,11,1,1,1
19984005,19984005,830,2,803,14,12,2,1,1
19986018,19986018,830,2,668,16,11,1,1,1
19981121,19981121,830,2,797,16,11,1,1,1
19982160,19982160,831,2,66,17,2,1,1,1
19982057,19982057,831,2,66,30,2,2,2,1
19982124,19982124,831,2,66,30,1,1,1,1
19981437,19981437,831,2,797,30,11,1,1,1
19981183,19981183,831,2,797,16,11,1,1,1
19985186,19985186,831,2,7,16,11,1,1,1
19983105,19983105,831,2,778,30,11,1,1,1
19982239,19982239,831,2,66,17,1,2,1,1
19983043,19983043,831,2,778,16,11,2,1,1
19983220,19983220,831,2,778,73,11,1,1,1
19983248,19983248,832,2,778,16,11,1,1,1
19984070,19984070,832,2,803,30,11,2,1,1
19983140,19983140,832,2,778,73,11,2,1,1
19982278,19982278,832,2,66,21,1,2,1,1
19981054,19981054,832,2,797,16,11,2,1,1
19982183,19982183,832,2,66,30,1,2,2,1
19983202,19983202,832,2,778,14,12,2,1,1
19982199,19982199,832,2,66,30,1,2,3,1
19981112,19981112,832,2,797,17,11,2,1,1
19983080,19983080,832,2,778,30,11,2,1,1
19982299,19982299,832,2,66,17,1,1,1,1
19981302,19981302,832,2,797,30,11,2,1,1
19981367,19981367,832,2,797,16,11,1,1,1
19981378,19981378,832,2,797,30,11,1,1,1
19982274,19982274,832,2,66,30,1,1,1,1
19982291,19982291,833,2,66,30,1,1,1,1
19983013,19983013,833,2,778,30,13,2,2,1
19985171,19985171,833,2,7,14,11,1,1,1
19981194,19981194,833,2,797,17,11,2,1,1
19984040,19984040,833,2,803,6,11,1,1,1
19981256,19981256,833,2,797,14,11,1,1,1
19983070,19983070,833,2,778,21,11,2,1,1
19983245,19983245,833,2,778,30,12,2,1,1
19986002,19986002,833,2,668,30,11,2,1,1
19983071,19983071,833,2,778,30,11,2,1,1
19982212,19982212,833,2,66,30,1,2,1,1
19982264,19982264,833,2,66,30,1,1,1,1
19982091,19982091,833,2,66,30,2,2,1,1
19983100,19983100,833,2,778,16,11,1,1,1
19981360,19981360,833,2,797,16,11,1,1,1
19983145,19983145,833,2,778,30,11,1,1,1
19985061,19985061,833,2,7,17,11,1,1,1
19983067,19983067,833,2,778,16,11,1,1,1
19982080,19982080,820,2,66,16,1,2,1,1
19984152,19984152,820,2,803,30,11,1,1,1
19981483,19981483,820,2,797,16,11,1,1,1
19982029,19982029,820,2,66,30,1,2,1,1
19982066,19982066,820,2,66,30,2,2,1,1
19983183,19983183,820,2,778,30,11,2,1,1
19981274,19981274,820,2,797,16,13,2,1,1
19986015,19986015,820,2,668,30,11,1,1,1
19981135,19981135,820,2,797,30,11,2,1,1
19982005,19982005,820,2,66,30,1,2,1,1
19981204,19981204,820,2,797,16,11,1,1,1
19982184,19982184,820,2,66,16,1,1,1,1
19983033,19983033,821,2,778,16,12,2,1,1
19982077,19982077,821,2,66,30,1,2,1,1
19983225,19983225,821,2,778,30,11,1,1,1
19981064,19981064,821,2,797,30,11,1,1,1
19981403,19981403,821,2,797,6,11,2,1,1
19983014,19983014,821,2,778,16,11,1,1,1
19983210,19983210,821,2,778,16,11,1,1,1
19982257,19982257,821,2,66,30,1,2,1,1
19982175,19982175,821,2,66,16,1,1,1,1
19981232,19981232,821,2,797,14,11,2,1,1
19984081,19984081,821,2,803,16,11,2,1,1
19984101,19984101,821,2,803,14,11,1,1,1
19985142,19985142,821,2,7,21,11,2,1,1
19983193,19983193,821,2,778,30,11,1,1,1
19982330,19982330,821,2,66,30,1,1,1,1
19984088,19984088,822,2,803,16,11,1,1,1
19983044,19983044,822,2,778,30,11,1,1,1
19985195,19985195,822,2,7,30,11,1,1,1
19982222,19982222,822,2,66,16,1,1,1,1
19982268,19982268,822,2,66,16,1,1,1,1
19981301,19981301,822,2,797,30,11,1,1,1
19987030,19987030,822,2,229,73,11,2,1,1
19981239,19981239,822,2,797,34,11,1,1,1
19982093,19982093,822,2,66,30,1,2,2,1
19983201,19983201,822,2,778,30,12,1,1,1
19983016,19983016,822,2,778,14,12,2,1,1
19981417,19981417,822,2,797,21,11,1,1,1
19985057,19985057,822,2,7,16,11,2,2,1
19983134,19983134,822,2,778,30,11,2,1,1
19985128,19985128,822,2,7,17,11,2,3,1
19982153,19982153,822,2,66,17,1,2,1,1
19982314,19982314,822,2,66,16,1,1,1,1
19985190,19985190,822,2,7,21,11,1,1,1
19984113,19984113,822,2,803,16,11,2,1,1
19981381,19981381,822,2,797,17,11,1,1,1
19985072,19985072,822,2,7,17,11,2,1,1
19985136,19985136,822,2,7,14,11,1,1,1
19981286,19981286,822,2,797,16,11,1,1,1
19982348,19982348,822,2,66,30,1,1,1,1
19981443,19981443,822,2,797,16,11,2,1,1
19983251,19983251,822,2,778,30,11,2,1,1
19981233,19981233,822,2,797,6,11,2,1,1
19984107,19984107,822,2,803,14,11,1,1,1
19985150,19985150,822,2,7,14,11,1,1,1
19986045,19986045,822,2,668,16,11,1,1,1
19982186,19982186,822,2,66,16,1,1,1,1
19984066,19984066,822,2,803,30,11,1,1,1
19981395,19981395,822,2,797,30,11,1,1,1
19985176,19985176,822,2,7,14,11,1,2,1
19985077,19985077,822,2,7,14,11,1,1,1
19981086,19981086,822,2,797,6,11,1,1,1
19985016,19985016,823,2,7,14,11,1,1,1
19982056,19982056,823,2,66,30,1,1,1,1
19985075,19985075,823,2,7,14,11,1,1,1
19981201,19981201,823,2,797,16,11,2,1,1
19982234,19982234,823,2,66,17,1,1,1,1
19981262,19981262,823,2,797,16,11,1,1,1
19981476,19981476,823,2,797,16,11,2,1,1
19983083,19983083,823,2,778,17,11,2,1,1
19983187,19983187,823,2,778,16,11,2,1,1
19982145,19982145,823,2,66,30,1,2,1,1
19983172,19983172,823,2,778,30,11,2,2,1
19985030,19985030,823,2,7,14,11,1,1,1
19982129,19982129,823,2,66,17,1,2,1,1
19982242,19982242,823,2,66,30,1,2,2,1
19981247,19981247,823,2,797,17,11,2,1,1
19982028,19982028,823,2,66,6,1,2,1,1
19981018,19981018,823,2,797,30,11,2,2,1
19981431,19981431,823,2,797,16,11,1,1,1
19984104,19984104,824,2,803,30,11,1,1,1
19981036,19981036,824,2,797,16,11,1,1,1
19981061,19981061,824,2,797,16,11,1,1,1
19981373,19981373,824,2,797,30,11,2,2,1
19984009,19984009,824,2,803,30,11,2,1,1
19984083,19984083,824,2,803,16,11,1,1,1
19984022,19984022,824,2,803,16,11,1,1,1
