person_id,age,age_group,gender,road_user
708,85,65+,Male,Passenger
709,19,18-25,Male,
710,28,26-40,Female,Pedestrian
711,52,41-65,Male,Pedal cyclist
712,63,41-65,Female,Pedal cyclist
713,6,0-17,Female,Passenger
714,91,65+,Female,Driver
715,1,0-17,Male,Passenger
716,46,41-65,Female,Passenger
717,40,41-65,Female,Motorcycle rider
718,67,65+,Male,Passenger
719,79,65+,Female,Pedal cyclist
720,84,65+,Male,Pedal cyclist
721,88,65+,Male,Pedestrian
722,64,41-65,Male,Passenger
723,48,41-65,Female,
724,54,41-65,Male,
725,14,0-17,Female,Driver
726,14,0-17,Female,Pedestrian
727,10,0-17,Female,Passenger
728,25,26-40,Male,Pedal cyclist
729,41,41-65,Female,Pedal cyclist
730,93,65+,Male,Pedestrian
731,21,18-25,Male,Pedal cyclist
732,58,41-65,Female,Motorcycle rider
733,77,65+,Male,Passenger
734,5,0-17,Female,Pedestrian
735,22,18-25,Female,Motorcycle rider
736,47,41-65,Female,Motorcycle pillion passenger
737,41,41-65,Female,Motorcycle pillion passenger
738,19,18-25,Male,Pedal cyclist
739,40,41-65,Male,Pedal cyclist
740,34,26-40,Female,Pedestrian
741,6,0-17,Male,Pedestrian
742,4,0-17,Male,Pedal cyclist
743,10,0-17,Female,Pedestrian
744,17,18-25,Female,Motorcycle rider
745,24,18-25,Male,
746,16,0-17,Female,Driver
747,10,0-17,Male,Pedestrian
748,34,26-40,Male,
749,53,41-65,Female,Passenger
750,27,26-40,Female,Motorcycle rider
751,20,18-25,Female,Pedal cyclist
752,14,0-17,Male,Pedal cyclist
753,55,41-65,Female,Pedal cyclist
754,8,0-17,Female,Pedestrian
755,21,18-25,Male,Motorcycle pillion passenger
756,68,65+,Male,
757,8,0-17,Male,Pedal cyclist
758,33,26-40,Female,Pedestrian
759,29,26-40,Female,Motorcycle pillion passenger
760,101,65+,Male,Driver
761,16,0-17,Male,Pedal cyclist
762,34,26-40,Male,Pedal cyclist
763,87,65+,Male,Motorcycle rider
764,50,41-65,Female,Pedal cyclist
765,13,0-17,Male,Motorcycle rider
766,76,65+,Female,Motorcycle rider
767,60,41-65,Female,Pedal cyclist
768,46,41-65,Male,Pedal cyclist
769,22,18-25,Female,Motorcycle pillion passenger
770,75,65+,Male,Pedestrian
771,30,26-40,Male,Pedal cyclist
772,43,41-65,Female,Motorcycle rider
773,72,65+,Female,Pedal cyclist
774,44,41-65,Female,Motorcycle rider
775,32,26-40,Male,Pedal cyclist
776,94,65+,Female,Pedestrian
777,22,18-25,Female,Pedal cyclist
778,95,65+,Female,Passenger
779,81,65+,Male,Passenger
780,11,0-17,Female,Pedestrian
781,59,41-65,Male,Passenger
782,44,41-65,Female,Pedal cyclist
783,38,26-40,Male,Pedal cyclist
784,54,41-65,Female,Motorcycle rider
785,36,26-40,Female,Pedestrian
786,24,18-25,Male,Pedal cyclist
787,9,0-17,Male,Pedestrian
788,74,65+,Male,Passenger
789,32,26-40,Female,Pedal cyclist
790,97,65+,Male,Driver
791,46,41-65,Female,Motorcycle rider
792,65,65+,Female,Pedal cyclist
793,5,0-17,Male,Pedal cyclist
794,52,41-65,Female,Pedal cyclist
795,17,18-25,Male,Pedal cyclist
796,9,0-17,Female,Passenger
797,28,26-40,Male,Pedal cyclist
798,50,41-65,Female,
799,35,26-40,Male,Pedal cyclist
800,99,65+,Male,Pedestrian
801,95,65+,Male,Pedestrian
802,92,65+,Male,Passenger
803,71,65+,Male,Passenger
804,21,18-25,Female,Pedal cyclist
805,69,65+,Female,Motorcycle rider
806,23,18-25,Male,Motorcycle pillion passenger
807,48,41-65,Male,Pedal cyclist
808,61,41-65,Female,Motorcycle pillion passenger
809,60,41-65,Female,Pedestrian
810,28,26-40,Female,Pedal cyclist
811,13,0-17,Female,Passenger
812,86,65+,Female,
